File,for loops,while loops,do-while loops,total loops,total nodes
test/pkcs7_test-bin-pkcs7_test.c,1,0,1,2,2582
crypto/pkcs7/pk7_doit.c,6,1,2,9,15815
test/helpers/quicapitest-bin-ssltestlib.c,4,7,12,23,18890
ssl/rio/rio_notifier.c,0,1,2,3,614
ssl/ssl_cert.c,2,6,15,23,17081
crypto/bn/bn_add.c,0,1,2,3,1228
crypto/asn1/tasn_dec.c,0,3,10,13,16620
ssl/quic/quic_rcidm.c,0,3,1,4,19461
crypto/sm2/sm2_sign.c,0,0,3,3,5982
crypto/bio/bf_prefix.c,0,1,2,3,1734
test/destest-bin-destest.c,0,0,5,5,15221
crypto/x509/x_name.c,5,1,5,11,5826
crypto/encode_decode/encoder_meth.c,0,1,1,2,5927
ssl/quic/quic_record_tx.c,0,5,7,12,10597
crypto/engine/tb_eckey.c,1,0,0,1,388
crypto/ec/ecx_backend.c,1,0,0,1,3837
crypto/siphash/siphash.c,0,0,7,7,3018
crypto/rsa/rsa_ossl.c,0,1,3,4,13151
test/bio_base64_test-bin-bio_base64_test.c,2,0,4,6,5029
crypto/param_build_set.c,0,0,2,2,1217
crypto/bio/bss_log.c,0,1,0,1,574
crypto/evp/p_lib.c,1,0,1,2,34017
crypto/ct/ct_x509v3.c,0,2,0,2,444
apps/openssl-bin-nseq.c,1,1,1,3,1041
apps/apps.c,8,13,22,43,38612
apps/openssl-bin-pkeyutl.c,0,1,4,5,8868
crypto/initthread.c,0,5,4,9,2810
crypto/x509/v3_pmaps.c,0,1,1,2,1060
crypto/x509/t_x509.c,0,3,8,11,7299
crypto/bio/bss_dgram_pair.c,2,2,5,9,14157
apps/opt.c,0,19,21,40,13314
test/endecode_test-bin-endecode_test.c,0,2,1,3,32476
crypto/bio/bss_dgram_pair.c,2,2,5,9,14157
test/provider_pkey_test-bin-fake_rsaprov.c,1,0,0,1,6008
ssl/quic/quic_rstream.c,0,2,5,7,6619
crypto/thread/arch.c,0,1,1,2,1154
test/x509aux-bin-x509aux.c,0,0,1,1,1807
crypto/encode_decode/decoder_lib.c,0,1,6,7,9472
crypto/aes/vpaes-x86_64.c,0,0,2,2,770
