File,for loops,while loops,do-while loops,total loops,total nodes
crypto/des/ofb64enc.c,2,0,1,3,609
crypto/pem/pem_lib.c,1,1,8,10,12729
ssl/statem/statem_lib.c,5,2,12,19,32297
apps/openssl-bin-cmp.c,2,5,16,23,53276
test/helpers/sslcorrupttest-bin-ssltestlib.c,6,7,12,25,18505
crypto/pem/pem_lib.c,1,1,8,10,12729
crypto/hpke/hpke.c,4,0,0,4,17967
crypto/evp/e_aes_cbc_hmac_sha256.c,9,2,7,18,19613
ssl/quic/json_enc.c,6,1,10,17,16162
providers/implementations/ciphers/cipher_sm4_ccm_hw.c,1,0,0,1,161
providers/implementations/digests/wp_prov.c,1,0,0,1,1104
crypto/thread/arch/thread_posix.c,2,0,0,2,2118
ssl/statem/statem_srvr.c,10,1,7,18,50320
ssl/quic/quic_demux.c,2,5,3,10,9642
crypto/err/err_prn.c,2,0,3,5,2122
crypto/bn/rsaz-3k-avx512.c,3,0,1,4,5192
test/helpers/json_test-bin-ssltestlib.c,6,7,12,25,18505
crypto/provider_core.c,6,1,18,25,21814
test/helpers/quic_srt_gen_test-bin-quictestlib.c,1,1,11,13,15095
test/helpers/dtlstest-bin-ssltestlib.c,6,7,12,25,18505
crypto/evp/evp_lib.c,1,0,0,1,19410
providers/implementations/encode_decode/ml_common_codecs.c,2,0,2,4,806
crypto/whrlpool/wp_dgst.c,11,2,5,18,4447
ssl/record/methods/dtls_meth.c,4,2,1,7,7261
providers/implementations/kdfs/krb5kdf.c,3,1,4,8,3903
crypto/rand/rand_lib.c,1,0,1,2,11059
ssl/statem/extensions_clnt.c,7,3,8,18,28618
test/destest-bin-destest.c,12,0,5,17,14197
crypto/aes/aesni-xts-avx512.c,40,0,0,40,25855
crypto/rsa/rsa_mp.c,1,0,1,2,982
ssl/quic/quic_channel.c,16,4,10,30,48263
crypto/ec/ec_mult.c,4,3,14,21,10408
crypto/modes/cbc128.c,2,0,3,5,7553
ssl/statem/statem_dtls.c,7,6,6,19,16609
crypto/slh_dsa/slh_wots.c,4,0,9,13,11997
crypto/bf/bf_enc.c,2,0,2,4,4445
crypto/pem/pvkfmt.c,1,0,0,1,14175
ssl/quic/qlog.c,4,3,4,11,8828
crypto/sha/sha512.c,10,0,1,11,5318
providers/implementations/digests/blake2_prov.c,3,0,0,3,3081
ssl/quic/quic_rcidm.c,16,3,1,20,17993
test/helpers/sslapitest-bin-ssltestlib.c,6,7,12,25,18505
crypto/ui/ui_lib.c,15,4,0,19,13676
crypto/ec/ec2_smpl.c,4,0,3,7,11042
crypto/provider_core.c,6,1,18,25,21814
apps/s_cb.c,4,9,23,36,20120
crypto/ffc/ffc_params.c,2,1,0,3,4230
crypto/poly1305/poly1305.c,1,0,2,3,1756
apps/openssl-bin-ts.c,1,2,1,4,3411
ssl/quic/quic_fc.c,1,0,0,1,3667
ssl/quic/quic_record_tx.c,1,5,7,13,10525
ssl/statem/statem_clnt.c,6,0,4,10,45942
