File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/coreutils/src chown.c,0,1,1,2,3382
../samples/decompilations/coreutils/lib libcoreutils_a-randint.c,0,0,3,3,788
../samples/decompilations/coreutils/src numfmt.c,1,24,87,112,71958
../samples/decompilations/coreutils/lib libcoreutils_a-skipchars.c,0,2,2,4,1068
../samples/decompilations/coreutils/lib libcoreutils_a-readtokens0.c,0,0,1,1,2039
../samples/decompilations/coreutils/gnulib-tests bench_crc-bench-crc.c,0,0,1,1,685
../samples/decompilations/coreutils/lib libcoreutils_a-idcache.c,0,0,6,6,1735
../samples/decompilations/coreutils/lib libcoreutils_a-nproc.c,0,3,0,3,1279
../samples/decompilations/coreutils/lib libcoreutils_a-xstrtod.c,0,0,0,0,441
../samples/decompilations/coreutils/src chcon.c,0,0,2,2,4573
../samples/decompilations/coreutils/lib libcoreutils_a-mbslen.c,0,1,0,1,404
../samples/decompilations/coreutils/src ln.c,0,0,3,3,6939
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_print.c,0,0,0,0,217
../samples/decompilations/coreutils/src cksum-sum.c,0,0,8,8,3480
../samples/decompilations/coreutils/src uniq.c,0,3,7,10,6766
../samples/decompilations/coreutils/src ptx.c,6,21,44,71,22485
../samples/decompilations/coreutils/src csplit.c,2,9,18,29,11807
../samples/decompilations/coreutils/lib libcoreutils_a-modechange.c,0,4,5,9,2980
../samples/decompilations/coreutils/lib libcoreutils_a-priv-set.c,0,0,0,0,34
../samples/decompilations/coreutils/lib libcoreutils_a-base64.c,0,1,4,5,3300
../samples/decompilations/coreutils/src nice.c,0,1,2,3,2631
../samples/decompilations/coreutils/lib libcoreutils_a-fseek.c,0,0,0,0,44
../samples/decompilations/coreutils/lib libcoreutils_a-version-etc-fsf.c,0,0,0,0,1
../samples/decompilations/coreutils/src hostid.c,0,0,1,1,1316
../samples/decompilations/coreutils/gnulib-tests glthread thread.c,0,0,0,0,177
../samples/decompilations/coreutils/src fold.c,1,3,6,10,3786
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u32-cpy.c,0,0,0,0,80
../samples/decompilations/coreutils/lib libcoreutils_a-isapipe.c,0,0,0,0,170
../samples/decompilations/coreutils/lib libcoreutils_a-memcmp2.c,0,0,0,0,125
../samples/decompilations/coreutils/src stty.c,2,7,15,24,16674
../samples/decompilations/coreutils/lib libcoreutils_a-sha512-stream.c,0,0,1,1,634
../samples/decompilations/coreutils/lib libcoreutils_a-closeout.c,0,0,0,0,298
../samples/decompilations/coreutils/src make-prime-list.c,1,2,4,7,2601
../samples/decompilations/coreutils/src lbracket.c,0,4,1,5,10803
../samples/decompilations/coreutils/lib libcoreutils_a-mkstemp-safer.c,0,0,0,0,101
../samples/decompilations/coreutils/src cat.c,2,2,6,10,7266
../samples/decompilations/coreutils/lib libcoreutils_a-vaszprintf.c,0,0,0,0,229
../samples/decompilations/coreutils/src logname.c,0,0,1,1,1407
../samples/decompilations/coreutils/src chroot.c,0,2,4,6,4672
../samples/decompilations/coreutils/lib libcoreutils_a-time_rz.c,0,1,4,5,2539
../samples/decompilations/coreutils/lib libcoreutils_a-tempname.c,0,0,3,3,1311
../samples/decompilations/coreutils/src b2sum-digest.c,1,5,16,22,10904
../samples/decompilations/coreutils/gnulib-tests strerror_r.c,0,0,0,0,448
../samples/decompilations/coreutils/src uname-uname.c,0,0,0,0,1
../samples/decompilations/coreutils/src unlink.c,0,0,1,1,1521
../samples/decompilations/coreutils/lib glthread libcoreutils_a-once.c,0,0,0,0,188
../samples/decompilations/coreutils/lib libcoreutils_a-ftoastr.c,0,1,0,1,618
../samples/decompilations/coreutils/lib uniwidth libcoreutils_a-width.c,0,0,0,0,1674
../samples/decompilations/coreutils/src mv.c,0,0,4,4,6544
../samples/decompilations/coreutils/lib libcoreutils_a-sha256-stream.c,0,0,1,1,634
../samples/decompilations/coreutils/gnulib-tests xgetcwd.c,0,0,0,0,111
../samples/decompilations/coreutils/src df.c,1,3,11,15,10511
../samples/decompilations/coreutils/lib libcoreutils_a-sha1.c,0,0,0,0,807
../samples/decompilations/coreutils/lib libcoreutils_a-filenamecat.c,0,0,0,0,95
../samples/decompilations/coreutils/lib libcoreutils_a-memcasecmp.c,0,0,1,1,189
../samples/decompilations/coreutils/lib libcoreutils_a-dirchownmod.c,0,0,0,0,847
../samples/decompilations/coreutils/gnulib-tests c-strcasestr.c,2,2,15,19,4170
../samples/decompilations/coreutils/lib libcoreutils_a-set-permissions.c,0,0,0,0,183
