File,for loops,while loops,do-while loops,total
../samples/decompilations/coreutils/src sha512sum-digest.c,1,8,12,9
../samples/decompilations/coreutils/lib libcoreutils_a-c32_apply_type_test.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mountlist.c,0,3,1,3
../samples/decompilations/coreutils/lib libcoreutils_a-mgetgroups.c,0,1,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-utimecmp.c,0,0,2,0
../samples/decompilations/coreutils/lib libcoreutils_a-dirchownmod.c,0,0,0,0
../samples/decompilations/coreutils/src remove.c,0,1,4,1
../samples/decompilations/coreutils/lib libcoreutils_a-xgethostname.c,0,1,0,1
../samples/decompilations/coreutils/lib libcoreutils_a-btowc.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-posixver.c,0,0,0,0
../samples/decompilations/coreutils/src rm.c,1,0,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-gettime.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-safe-write.c,0,1,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-pipe-safer.c,0,0,0,0
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u32-cpy.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-yesno.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32isprint.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-same-inode.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests getlocalename_l-unsafe.c,0,0,0,0
../samples/decompilations/coreutils/src truncate.c,0,1,3,1
../samples/decompilations/coreutils/lib libcoreutils_a-getndelim2.c,0,1,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-c32isdigit.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-randperm.c,1,1,2,2
../samples/decompilations/coreutils/src stty.c,2,7,15,9
../samples/decompilations/coreutils/lib libcoreutils_a-nanosleep.c,0,1,0,1
../samples/decompilations/coreutils/lib libcoreutils_a-getugroups.c,0,2,3,2
../samples/decompilations/coreutils/lib libcoreutils_a-qcopy-acl.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xasprintf.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32isalpha.c,0,0,0,0
../samples/decompilations/coreutils/src groups.c,1,0,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-basename-lgpl.c,0,2,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-targetdir.c,0,0,2,0
../samples/decompilations/coreutils/lib libcoreutils_a-error.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xsize.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-rand-isaac.c,0,0,4,0
../samples/decompilations/coreutils/lib libcoreutils_a-sm3-stream.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-physmem.c,0,2,0,2
../samples/decompilations/coreutils/lib libcoreutils_a-dup-safer-flag.c,0,0,0,0
../samples/decompilations/coreutils/src split.c,1,5,15,6
../samples/decompilations/coreutils/gnulib-tests bench_sha256-bench-sha256.c,0,0,2,0
../samples/decompilations/coreutils/lib libcoreutils_a-cl-strtold.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-areadlinkat-with-size.c,0,1,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-xprintf.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-posix_memalign.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-parse-datetime.c,0,7,20,7
../samples/decompilations/coreutils/src ln.c,0,0,3,0
../samples/decompilations/coreutils/src sha256sum-digest.c,1,8,12,9
../samples/decompilations/coreutils/lib libcoreutils_a-dup-safer.c,0,0,0,0
../samples/decompilations/coreutils/src nohup.c,0,1,1,1
../samples/decompilations/coreutils/src factor.c,14,20,59,34
../samples/decompilations/coreutils/lib libcoreutils_a-cloexec.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests timespec-add.c,0,0,0,0
../samples/decompilations/coreutils/src logname.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32width.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-root-dev-ino.c,0,0,0,0
../samples/decompilations/coreutils/src libstdbuf_so-libstdbuf.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-realloc.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c-strtod.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-hash-pjw.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-cl-strtod.c,0,0,0,0
../samples/decompilations/coreutils/src temp-stream.c,0,1,0,1
../samples/decompilations/coreutils/lib libcoreutils_a-mbsrtoc32s-state.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-memchr2.c,0,2,1,2
../samples/decompilations/coreutils/src cksum-sum.c,0,0,8,0
../samples/decompilations/coreutils/lib libcoreutils_a-acl-errno-valid.c,0,0,0,0
../samples/decompilations/coreutils/src paste.c,0,5,6,5
../samples/decompilations/coreutils/lib libcoreutils_a-setlocale_null-unlocked.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests str_startswith.c,0,0,0,0
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_alpha.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xstrtoumax.c,0,1,7,1
../samples/decompilations/coreutils/lib unicase libcoreutils_a-tolower.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-savewd.c,0,1,2,1
../samples/decompilations/coreutils/lib libcoreutils_a-same.c,0,0,0,0
../samples/decompilations/coreutils/src whoami.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-memset_explicit.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-setlocale_null.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-propername-lite.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-obstack.c,1,3,0,4
../samples/decompilations/coreutils/lib libcoreutils_a-copy-acl.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests locale.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-memcasecmp.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-sys_socket.c,0,0,0,0
../samples/decompilations/coreutils/lib malloc libcoreutils_a-dynarray_resize_clear.c,0,0,0,0
../samples/decompilations/coreutils/src ls.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-userspec.c,0,0,0,0
../samples/decompilations/coreutils/src tty.c,0,0,2,0
../samples/decompilations/coreutils/gnulib-tests bench_md5-bench-md5.c,0,0,2,0
../samples/decompilations/coreutils/src iopoll.c,0,2,1,2
../samples/decompilations/coreutils/lib libcoreutils_a-version-etc.c,0,1,2,1
../samples/decompilations/coreutils/src ls-ls.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32_get_type_test.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c-strcasecmp.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-strnlen1.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-fadvise.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-sha512.c,0,0,0,0
../samples/decompilations/coreutils/src mv.c,0,0,4,0
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u32-pcpy.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xstrtod.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mcel.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32isblank.c,0,0,0,0
../samples/decompilations/coreutils/src expand.c,0,1,4,1
../samples/decompilations/coreutils/lib libcoreutils_a-mini-mpq-gnulib.c,0,1,1,1
../samples/decompilations/coreutils/gnulib-tests bench_sha1-bench-sha1.c,0,0,2,0
../samples/decompilations/coreutils/src cut.c,1,6,17,7
../samples/decompilations/coreutils/lib libcoreutils_a-vzprintf.c,0,0,0,0
../samples/decompilations/coreutils/src link.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-full-read.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-hard-locale.c,0,0,0,0
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u32-chr.c,0,0,1,0
../samples/decompilations/coreutils/gnulib-tests xconcat-filename.c,0,0,0,0
../samples/decompilations/coreutils/src tee.c,0,1,8,1
../samples/decompilations/coreutils/lib libcoreutils_a-open-safer.c,0,0,0,0
../samples/decompilations/coreutils/src sha1sum-digest.c,1,8,12,9
