File,File,Repo,File,for loops,while loops,do-while loops,total,File,File,for loops,while loops,do-while loops,total loops,total nodes,File,for loops,while loops,do-while loops,total loops,total nodes
crypto/x509/x_crl.c,crypto/x509/x_crl.c,openssl,crypto/x509/x_crl.c,5,0,0,5,crypto/x509/x_crl.c,crypto/x509/x_crl.c,2,1,2,5,7280,crypto/x509/x_crl.c,3,1,2,6,7211
crypto/x509/x509cset.c,crypto/x509/x509cset.c,openssl,crypto/x509/x509cset.c,1,0,0,1,crypto/x509/x509cset.c,crypto/x509/x509cset.c,0,1,0,1,1633,crypto/x509/x509cset.c,3,1,0,4,1617
crypto/x509/pcy_cache.c,crypto/x509/pcy_cache.c,openssl,crypto/x509/pcy_cache.c,1,0,0,1,crypto/x509/pcy_cache.c,crypto/x509/pcy_cache.c,0,0,1,1,2041,crypto/x509/pcy_cache.c,1,0,1,2,2002
crypto/ui/ui_lib.c,crypto/ui/ui_lib.c,openssl,crypto/ui/ui_lib.c,4,0,0,4,crypto/ui/ui_lib.c,crypto/ui/ui_lib.c,1,4,0,5,13886,crypto/ui/ui_lib.c,15,4,0,19,13676
crypto/md5/md5_dgst.c,crypto/md5/md5_dgst.c,openssl,crypto/md5/md5_dgst.c,1,0,0,1,crypto/md5/md5_dgst.c,crypto/md5/md5_dgst.c,0,0,3,3,2484,crypto/md5/md5_dgst.c,3,0,3,6,2174
crypto/sm3/sm3.c,crypto/sm3/sm3.c,openssl,crypto/sm3/sm3.c,1,0,0,1,crypto/sm3/sm3.c,crypto/sm3/sm3.c,0,0,4,4,19775,crypto/sm3/sm3.c,2,0,4,6,19395
crypto/store/store_result.c,crypto/store/store_result.c,openssl,crypto/store/store_result.c,0,2,0,2,crypto/store/store_result.c,crypto/store/store_result.c,0,1,1,2,5264,crypto/store/store_result.c,1,1,1,3,5191
crypto/err/err_prn.c,crypto/err/err_prn.c,openssl,crypto/err/err_prn.c,0,2,1,2,crypto/err/err_prn.c,crypto/err/err_prn.c,1,0,3,4,2198,crypto/err/err_prn.c,2,0,3,5,2122
crypto/err/err.c,crypto/err/err.c,openssl,crypto/err/err.c,5,2,0,7,crypto/err/err.c,crypto/err/err.c,2,2,21,25,35067,crypto/err/err.c,66,2,21,89,34690
crypto/err/err_save.c,crypto/err/err_save.c,openssl,crypto/err/err_save.c,6,0,0,6,crypto/err/err_save.c,crypto/err/err_save.c,2,0,6,8,4533,crypto/err/err_save.c,3,0,6,9,4497
crypto/rand/rand_lib.c,crypto/rand/rand_lib.c,openssl,crypto/rand/rand_lib.c,1,0,0,1,crypto/rand/rand_lib.c,crypto/rand/rand_lib.c,0,0,1,1,11339,crypto/rand/rand_lib.c,1,0,1,2,11059
crypto/provider_core.c,crypto/provider_core.c,openssl,crypto/provider_core.c,19,1,0,20,crypto/provider_core.c,crypto/provider_core.c,3,1,18,22,22195,crypto/provider_core.c,6,1,18,25,21814
crypto/pem/pem_lib.c,crypto/pem/pem_lib.c,openssl,crypto/pem/pem_lib.c,5,3,2,8,crypto/pem/pem_lib.c,crypto/pem/pem_lib.c,0,1,8,9,13260,crypto/pem/pem_lib.c,1,1,8,10,12729
crypto/slh_dsa/slh_wots.c,crypto/slh_dsa/slh_wots.c,openssl,crypto/slh_dsa/slh_wots.c,6,0,0,6,crypto/slh_dsa/slh_wots.c,crypto/slh_dsa/slh_wots.c,0,0,9,9,12713,crypto/slh_dsa/slh_wots.c,4,0,9,13,11997
crypto/sha/sha512.c,crypto/sha/sha512.c,openssl,crypto/sha/sha512.c,9,4,0,13,crypto/sha/sha512.c,crypto/sha/sha512.c,3,0,1,4,6799,crypto/sha/sha512.c,10,0,1,11,5318
