File,for/loops,while/loops,do-while/loops,total
crypto/rc2/libcrypto-lib-rc2_cbc.c,0,2,4,6
crypto/x509/libcrypto-shlib-t_req.c,2,0,2,4
crypto/libcrypto-lib-packet.c,0,1,7,8
providers/implementations/ciphers/libdefault-lib-cipher_cts.c,0,0,5,5
crypto/bn/libcrypto-lib-bn_prime.c,0,13,9,22
test/tls13encryptiontest-bin-tls13encryptiontest.c,0,1,2,3
crypto/bn/asm/libcrypto-lib-x86_64-gcc.c,0,0,5,5
ssl/libssl-lib-priority_queue.c,0,1,6,7
providers/libcrypto-shlib-baseprov.c,0,1,1,2
providers/implementations/ciphers/liblegacy-lib-cipher_rc2_hw.c,0,0,4,4
providers/implementations/ciphers/libdefault-lib-cipher_aria_hw.c,1,0,0,1
ssl/libssl-lib-s3_enc.c,0,0,4,4
apps/openssl-bin-pkcs7.c,6,0,0,6
crypto/sha/libcrypto-shlib-sha256-x86_64.c,0,0,18,18
crypto/libcrypto-shlib-core_algorithm.c,0,1,1,2
ssl/libssl-shlib-s3_lib.c,2,1,9,12
crypto/ct/libcrypto-shlib-ct_oct.c,3,1,1,5
test/helpers/sslbuffertest-bin-ssltestlib.c,4,7,12,23
crypto/asn1/libcrypto-shlib-a_int.c,0,0,14,14
crypto/x509/libcrypto-shlib-pcy_map.c,1,0,0,1
crypto/sha/libcrypto-lib-sha1dgst.c,0,0,3,3
crypto/ct/libcrypto-lib-ct_prn.c,0,1,1,2
apps/openssl-bin-s_server.c,3,17,18,38
crypto/bn/libcrypto-lib-x86_64-gf2m.c,3,0,0,3
test/sparse_array_test-bin-sparse_array_test.c,0,1,7,8
crypto/des/libcrypto-shlib-ofb_enc.c,0,1,1,2
apps/lib/libapps-lib-columns.c,0,0,1,1
providers/implementations/kdfs/libdefault-lib-hkdf.c,1,0,1,2
crypto/bn/libcrypto-lib-bn_kron.c,0,3,0,3
crypto/asn1/libcrypto-lib-tasn_enc.c,5,0,2,7
crypto/srp/libcrypto-lib-srp_lib.c,0,0,1,1
crypto/modes/libcrypto-shlib-ocb128.c,3,3,7,13
crypto/libcrypto-shlib-o_str.c,0,2,7,9
crypto/dh/libcrypto-shlib-dh_key.c,0,0,1,1
crypto/x509/libcrypto-lib-x509_obj.c,0,2,4,6
crypto/cmp/libcrypto-lib-cmp_genm.c,3,0,3,6
providers/implementations/signature/libdefault-lib-sm2_sig.c,1,0,0,1
crypto/bio/libcrypto-shlib-bss_sock.c,1,0,0,1
crypto/des/libcrypto-shlib-des_enc.c,0,0,4,4
crypto/modes/libcrypto-lib-ctr128.c,1,2,3,6
crypto/asn1/libcrypto-shlib-t_spki.c,0,0,1,1
apps/openssl-bin-errstr.c,0,1,1,2
crypto/x509/libcrypto-lib-v3_asid.c,2,2,4,8
crypto/libcrypto-shlib-param_build.c,0,1,3,4
ssl/quic/libssl-lib-json_enc.c,3,1,10,14
ssl/quic/libssl-shlib-quic_rstream.c,0,2,5,7
crypto/x509/libcrypto-shlib-v3_rolespec.c,0,1,0,1
crypto/poly1305/libcrypto-shlib-poly1305.c,0,0,2,2
test/asynciotest-bin-asynciotest.c,0,3,6,9
test/v3ext-bin-v3ext.c,0,0,4,4
crypto/bn/libcrypto-lib-bn_gf2m.c,0,6,22,28
crypto/ec/libcrypto-lib-ecp_nistz256.c,1,3,18,22
crypto/lhash/libcrypto-shlib-lhash.c,0,5,9,14
fuzz/quic-server-test-bin-test-corpus.c,0,1,1,2
apps/openssl-bin-ciphers.c,3,1,1,5
crypto/rc2/libcrypto-shlib-rc2_cbc.c,0,2,4,6
apps/openssl-bin-genpkey.c,0,1,1,2
crypto/asn1/libcrypto-lib-t_pkey.c,0,0,2,2
crypto/libcrypto-shlib-core_namemap.c,0,1,7,8
crypto/bn/libcrypto-shlib-bn_x931p.c,0,1,3,4
test/asn1_internal_test-bin-asn1_internal_test.c,0,1,6,7
providers/implementations/ciphers/libdefault-lib-cipher_sm4_xts_hw.c,1,0,0,1
crypto/x509/libcrypto-lib-v3_battcons.c,1,0,0,1
crypto/cast/libcrypto-lib-c_skey.c,0,0,1,1
crypto/store/libcrypto-shlib-store_register.c,0,0,3,3
test/params_test-bin-params_test.c,0,1,3,4
test/helpers/sslapitest-bin-ssltestlib.c,4,7,12,23
