File,for loops,while loops,do-while loops,total
../samples/decompilations/coreutils/lib libcoreutils_a-xbinary-io.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests unistr u32-set.c,0,0,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-c32width.c,0,0,0,0
../samples/decompilations/coreutils/src false.c,0,0,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-c32_apply_type_test.c,0,0,0,0
../samples/decompilations/coreutils/src date.c,0,2,4,6
../samples/decompilations/coreutils/lib libcoreutils_a-areadlinkat.c,0,0,0,0
../samples/decompilations/coreutils/src test.c,0,4,2,6
../samples/decompilations/coreutils/src pinky.c,0,5,6,11
../samples/decompilations/coreutils/src tac.c,0,5,7,12
../samples/decompilations/coreutils/lib libcoreutils_a-asnprintf.c,0,0,0,0
../samples/decompilations/coreutils/src od.c,0,7,35,42
../samples/decompilations/coreutils/src stat.c,3,1,10,14
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u32-strcat.c,0,0,1,1
../samples/decompilations/coreutils/src readlink.c,0,0,3,3
../samples/decompilations/coreutils/lib libcoreutils_a-imaxtostr.c,0,0,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-filevercmp.c,1,1,6,8
../samples/decompilations/coreutils/lib libcoreutils_a-stat-time.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32islower.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests localename-unsafe.c,0,0,0,0
../samples/decompilations/coreutils/src mknod.c,0,1,3,4
../samples/decompilations/coreutils/src chmod.c,0,2,1,3
../samples/decompilations/coreutils/lib libcoreutils_a-readtokens.c,0,2,2,4
../samples/decompilations/coreutils/src libwc_avx2_a-wc_avx2.c,0,1,3,4
../samples/decompilations/coreutils/lib libcoreutils_a-mini-gmp-gnulib.c,29,17,119,165
../samples/decompilations/coreutils/lib libcoreutils_a-gettime.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-canon-host.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-memchr2.c,0,2,1,3
../samples/decompilations/coreutils/src shred.c,0,3,11,14
../samples/decompilations/coreutils/lib libcoreutils_a-binary-io.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-md5-stream.c,0,0,1,1
../samples/decompilations/coreutils/lib malloc libcoreutils_a-scratch_buffer_grow_preserve.c,0,0,0,0
../samples/decompilations/coreutils/src seq.c,0,2,16,18
../samples/decompilations/coreutils/src du.c,0,4,5,9
../samples/decompilations/coreutils/lib libcoreutils_a-float.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-setlocale_null.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests ioctl.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-vzprintf.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests timespec-sub.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests localename-table.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32isgraph.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-qset-acl.c,0,0,0,0
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_punct.c,0,0,0,0
../samples/decompilations/coreutils/src sha384sum-digest.c,1,8,12,21
../samples/decompilations/coreutils/src groups.c,1,0,1,2
../samples/decompilations/coreutils/src uname.c,0,1,1,2
../samples/decompilations/coreutils/lib libcoreutils_a-xstrtoul.c,0,1,7,8
../samples/decompilations/coreutils/lib libcoreutils_a-vsnzprintf.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-se-selinux.c,0,0,0,0
../samples/decompilations/coreutils/src expand-common.c,0,2,3,5
../samples/decompilations/coreutils/lib libcoreutils_a-physmem.c,0,2,0,2
../samples/decompilations/coreutils/src getlimits.c,0,1,1,2
../samples/decompilations/coreutils/src ls.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-areadlinkat-with-size.c,0,1,1,2
../samples/decompilations/coreutils/src nproc.c,0,0,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-c-ctype.c,0,0,0,0
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_alpha.c,0,0,0,0
../samples/decompilations/coreutils/src selinux.c,0,0,0,0
../samples/decompilations/coreutils/src stdbuf.c,0,1,4,5
../samples/decompilations/coreutils/lib malloc libcoreutils_a-dynarray_finalize.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-basename.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests timespec-add.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-localcharset.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-str_endswith.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-obstack.c,1,3,0,4
../samples/decompilations/coreutils/src tty.c,0,0,2,2
../samples/decompilations/coreutils/lib glthread libcoreutils_a-lock.c,0,0,0,0
../samples/decompilations/coreutils/src chown.c,0,1,1,2
../samples/decompilations/coreutils/lib libcoreutils_a-randint.c,0,0,3,3
../samples/decompilations/coreutils/src numfmt.c,1,24,87,112
../samples/decompilations/coreutils/lib libcoreutils_a-skipchars.c,0,2,2,4
../samples/decompilations/coreutils/lib libcoreutils_a-readtokens0.c,0,0,1,1
../samples/decompilations/coreutils/gnulib-tests bench_crc-bench-crc.c,0,0,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-idcache.c,0,0,6,6
../samples/decompilations/coreutils/lib libcoreutils_a-nproc.c,0,3,0,3
../samples/decompilations/coreutils/lib libcoreutils_a-xstrtod.c,0,0,0,0
../samples/decompilations/coreutils/src chcon.c,0,0,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-mbslen.c,0,1,0,1
../samples/decompilations/coreutils/src ln.c,0,0,3,3
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_print.c,0,0,0,0
../samples/decompilations/coreutils/src cksum-sum.c,0,0,8,8
../samples/decompilations/coreutils/src uniq.c,0,3,7,10
../samples/decompilations/coreutils/src ptx.c,6,21,44,71
../samples/decompilations/coreutils/src csplit.c,2,9,18,29
../samples/decompilations/coreutils/lib libcoreutils_a-modechange.c,0,4,5,9
../samples/decompilations/coreutils/lib libcoreutils_a-priv-set.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-base64.c,0,1,4,5
../samples/decompilations/coreutils/src nice.c,0,1,2,3
../samples/decompilations/coreutils/lib libcoreutils_a-fseek.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-version-etc-fsf.c,0,0,0,0
../samples/decompilations/coreutils/src hostid.c,0,0,1,1
../samples/decompilations/coreutils/gnulib-tests glthread thread.c,0,0,0,0
../samples/decompilations/coreutils/src fold.c,1,3,6,10
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u32-cpy.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-isapipe.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-memcmp2.c,0,0,0,0
../samples/decompilations/coreutils/src stty.c,2,7,15,24
../samples/decompilations/coreutils/lib libcoreutils_a-sha512-stream.c,0,0,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-closeout.c,0,0,0,0
../samples/decompilations/coreutils/src make-prime-list.c,1,2,4,7
../samples/decompilations/coreutils/src lbracket.c,0,4,1,5
../samples/decompilations/coreutils/lib libcoreutils_a-mkstemp-safer.c,0,0,0,0
../samples/decompilations/coreutils/src cat.c,2,2,6,10
../samples/decompilations/coreutils/lib libcoreutils_a-vaszprintf.c,0,0,0,0
../samples/decompilations/coreutils/src logname.c,0,0,1,1
../samples/decompilations/coreutils/src chroot.c,0,2,4,6
../samples/decompilations/coreutils/lib libcoreutils_a-time_rz.c,0,1,4,5
../samples/decompilations/coreutils/lib libcoreutils_a-tempname.c,0,0,3,3
../samples/decompilations/coreutils/src b2sum-digest.c,1,5,16,22
../samples/decompilations/coreutils/gnulib-tests strerror_r.c,0,0,0,0
../samples/decompilations/coreutils/src uname-uname.c,0,0,0,0
../samples/decompilations/coreutils/src unlink.c,0,0,1,1
../samples/decompilations/coreutils/lib glthread libcoreutils_a-once.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-ftoastr.c,0,1,0,1
../samples/decompilations/coreutils/lib uniwidth libcoreutils_a-width.c,0,0,0,0
../samples/decompilations/coreutils/src mv.c,0,0,4,4
../samples/decompilations/coreutils/lib libcoreutils_a-sha256-stream.c,0,0,1,1
../samples/decompilations/coreutils/gnulib-tests xgetcwd.c,0,0,0,0
../samples/decompilations/coreutils/src df.c,1,3,11,15
../samples/decompilations/coreutils/lib libcoreutils_a-sha1.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-filenamecat.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-memcasecmp.c,0,0,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-dirchownmod.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests c-strcasestr.c,2,2,15,19
../samples/decompilations/coreutils/lib libcoreutils_a-set-permissions.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xstrtoumax.c,0,1,7,8
../samples/decompilations/coreutils/lib libcoreutils_a-strnlen1.c,0,0,0,0
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u8-mbtoucr.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-selinux-at.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-file-set.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xfts.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests locale.c,0,0,0,0
../samples/decompilations/coreutils/src id.c,0,4,3,7
../samples/decompilations/coreutils/lib libcoreutils_a-mbrtowc.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-savedir.c,0,1,1,2
../samples/decompilations/coreutils/gnulib-tests localename-environ.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-gethrxtime.c,0,0,0,0
