bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
version.c,../samples/.cache/openssl/openssl-3.5.0/apps/version.c,0,1,0,1,../samples/decompilations/rerolled/src version.c,0,0,0,0
shuf.c,../samples/.cache/coreutils/coreutils-9.7/src/shuf.c,10,1,1,11,../samples/decompilations/rerolled/src shuf.c,0,0,0,0
uptime.c,../samples/.cache/coreutils/coreutils-9.7/src/uptime.c,1,0,0,1,../samples/decompilations/rerolled/src uptime.c,0,0,0,0
chown.c,../samples/.cache/coreutils/coreutils-9.7/lib/chown.c,0,0,0,0,../samples/decompilations/rerolled/src chown.c,0,0,0,0
false.c,../samples/.cache/coreutils/coreutils-9.7/src/false.c,0,0,0,0,../samples/decompilations/rerolled/src false.c,0,0,0,0
force-link.c,../samples/.cache/coreutils/coreutils-9.7/src/force-link.c,0,0,0,0,../samples/decompilations/rerolled/src force-link.c,0,0,0,0
mv.c,../samples/.cache/coreutils/coreutils-9.7/src/mv.c,2,1,0,3,../samples/decompilations/rerolled/src mv.c,0,0,0,0
test.c,../samples/.cache/coreutils/coreutils-9.7/src/test.c,2,5,0,7,../samples/decompilations/rerolled/src test.c,0,0,0,0
basenc.c,../samples/.cache/coreutils/coreutils-9.7/src/basenc.c,7,12,4,19,,,,,
make-prime-list.c,../samples/.cache/coreutils/coreutils-9.7/src/make-prime-list.c,6,1,1,7,../samples/decompilations/rerolled/src make-prime-list.c,0,0,0,0
tac.c,../samples/.cache/coreutils/coreutils-9.7/src/tac.c,1,8,0,9,../samples/decompilations/rerolled/src tac.c,0,0,0,0
stty.c,../samples/.cache/coreutils/coreutils-9.7/src/stty.c,15,2,0,17,../samples/decompilations/rerolled/src stty.c,0,0,0,0
chroot.c,../samples/.cache/coreutils/coreutils-9.7/src/chroot.c,1,2,0,3,../samples/decompilations/rerolled/src chroot.c,0,0,0,0
cksum_avx512.c,../samples/.cache/coreutils/coreutils-9.7/src/cksum_avx512.c,0,4,0,4,,,,,
coreutils.c,../samples/.cache/coreutils/coreutils-9.7/src/coreutils.c,0,0,0,0,,,,,
tsort.c,../samples/.cache/coreutils/coreutils-9.7/src/tsort.c,0,9,1,9,../samples/decompilations/rerolled/src tsort.c,0,0,0,0
selinux.c,../samples/.cache/coreutils/coreutils-9.7/src/selinux.c,1,0,0,1,../samples/decompilations/rerolled/src selinux.c,0,0,0,0
kill.c,../samples/.cache/coreutils/coreutils-9.7/src/kill.c,6,1,1,7,../samples/decompilations/rerolled/src kill.c,0,0,0,0
