Repo,File,for loops,while loops,do-while loops,total
coreutil,lib/strerror-override.c,0,0,0,0
coreutil,lib/frexp.c,2,2,0,4
coreutil,lib/select.c,9,1,0,10
coreutil,lib/vaszprintf.c,0,0,0,0
coreutil,lib/unistd.c,0,0,0,0
coreutil,lib/gettimeofday.c,0,0,0,0
coreutil,lib/alloca.c,1,0,0,1
coreutil,lib/closeout.c,0,0,0,0
coreutil,lib/qset-acl.c,0,0,0,0
coreutil,lib/mountlist.c,9,11,1,20
coreutil,lib/alignalloc.c,0,0,0,0
coreutil,lib/stdbit.c,0,0,0,0
coreutil,lib/areadlink.c,0,0,0,0
coreutil,lib/userspec.c,1,0,1,1
coreutil,lib/posixver.c,0,0,0,0
coreutil,lib/windows-tls.c,7,1,0,8
coreutil,lib/full-read.c,0,0,0,0
coreutil,lib/lc-charset-dispatch.c,0,0,0,0
coreutil,lib/ftoastr.c,1,0,0,1
coreutil,lib/stripslash.c,0,0,0,0
coreutil,lib/c-file-type.c,0,0,0,0
coreutil,lib/vasnprintf.c,91,58,18,149
coreutil,lib/file-has-acl.c,6,1,0,7
coreutil,lib/getndelim2.c,0,0,1,0
coreutil,lib/inet_ntop.c,3,0,0,3
coreutil,lib/sm3.c,2,2,0,4
coreutil,lib/mknodat.c,0,0,0,0
coreutil,lib/explicit_bzero.c,0,0,0,0
coreutil,lib/mkdir-p.c,0,0,0,0
coreutil,lib/euidaccess.c,0,0,0,0
coreutil,lib/c32_apply_type_test.c,0,0,0,0
coreutil,lib/snprintf.c,0,0,0,0
coreutil,lib/set-acl.c,0,0,0,0
coreutil,lib/canonicalize.c,5,6,1,11
coreutil,lib/filenamecat-lgpl.c,0,0,0,0
coreutil,lib/sha256.c,3,2,0,5
coreutil,lib/getpagesize.c,0,0,0,0
coreutil,lib/freading.c,0,0,0,0
coreutil,lib/close-stream.c,0,0,0,0
coreutil,lib/strstr.c,0,1,0,1
coreutil,lib/c32isblank.c,0,0,0,0
coreutil,lib/file-type.c,0,0,0,0
coreutil,lib/msvc-nothrow.c,0,0,0,0
coreutil,lib/iconv.c,0,2,0,2
coreutil,lib/nstrftime.c,0,0,0,0
coreutil,lib/getaddrinfo.c,0,1,0,1
coreutil,lib/unlinkat.c,0,1,0,1
coreutil,lib/c32iscntrl.c,0,0,0,0
coreutil,lib/qsort_r.c,0,0,0,0
coreutil,lib/c-ctype.c,0,0,0,0
coreutil,lib/wcrtomb.c,0,0,0,0
coreutil,lib/fd-safer-flag.c,0,0,0,0
coreutil,lib/fseek.c,0,0,0,0
coreutil,lib/sha1.c,1,2,0,3
coreutil,lib/fd-hook.c,0,0,0,0
coreutil,lib/math.c,0,0,0,0
coreutil,lib/lstat.c,0,0,0,0
coreutil,lib/save-cwd.c,0,0,0,0
coreutil,lib/lchmod.c,0,0,0,0
