File,for loops,while loops,do-while loops,total
crypto/ts/libcrypto-shlib-ts_rsp_sign.c,3,0,3,6
crypto/ts/libcrypto-shlib-ts_verify_ctx.c,3,0,0,3
crypto/ui/libcrypto-lib-ui_lib.c,15,4,0,19
crypto/ui/libcrypto-shlib-ui_lib.c,15,4,0,19
crypto/whrlpool/libcrypto-lib-wp_dgst.c,11,2,5,18
crypto/whrlpool/libcrypto-shlib-wp_dgst.c,11,2,5,18
crypto/x509/libcrypto-lib-pcy_cache.c,1,0,1,2
crypto/x509/libcrypto-lib-x509cset.c,3,1,0,4
crypto/x509/libcrypto-lib-x_all.c,2,0,0,2
crypto/x509/libcrypto-lib-x_crl.c,3,1,2,6
crypto/x509/libcrypto-shlib-pcy_cache.c,1,0,1,2
crypto/x509/libcrypto-shlib-x509cset.c,3,1,0,4
crypto/x509/libcrypto-shlib-x_all.c,2,0,0,2
crypto/x509/libcrypto-shlib-x_crl.c,3,1,2,6
engines/afalg-dso-e_afalg.c,5,1,2,8
engines/loader_attic-dso-e_loader_attic.c,4,1,9,14
engines/padlock-dso-e_padlock.c,3,1,14,18
engines/padlock-dso-e_padlock-x86_64.c,18,3,9,30
providers/implementations/ciphers/libcommon-lib-ciphercommon_ccm.c,2,0,0,2
providers/implementations/ciphers/libdefault-lib-cipher_aes_cbc_hmac_sha1_hw.c,11,3,7,21
providers/implementations/ciphers/libdefault-lib-cipher_aes_cbc_hmac_sha256_hw.c,11,3,7,21
providers/implementations/ciphers/libdefault-lib-cipher_aes_ccm_hw.c,1,0,0,1
providers/implementations/ciphers/libdefault-lib-cipher_aes_siv_hw.c,1,0,0,1
providers/implementations/ciphers/libdefault-lib-cipher_aria_ccm_hw.c,1,0,0,1
providers/implementations/ciphers/libdefault-lib-cipher_chacha20_hw.c,2,2,3,7
providers/implementations/ciphers/libdefault-lib-cipher_sm4_ccm_hw.c,1,0,0,1
providers/implementations/ciphers/libdefault-lib-cipher_tdes_default_hw.c,1,0,4,5
providers/implementations/digests/libdefault-lib-blake2_prov.c,3,0,0,3
providers/implementations/digests/libdefault-lib-blake2s_prov.c,3,0,1,4
providers/implementations/digests/libdefault-lib-md5_prov.c,1,0,0,1
providers/implementations/digests/libdefault-lib-md5_sha1_prov.c,1,0,0,1
