File,for loops,while loops,do-while loops,total loops,total nodes
rerolled/rerolledsrc/libwc_avx2_a-wc_avx2.c,1,1,3,5,1782
lib/libcoreutils_a-randread.c,0,3,2,5,1700
lib/libcoreutils_a-heap.c,0,1,1,2,1043
lib/libcoreutils_a-canonicalize.c,0,2,8,10,3666
gnulib-tests/bench_sha224-bench-sha224.c,0,0,2,2,867
src/sort.c,2,50,57,109,51190
lib/libcoreutils_a-crc.c,0,0,2,2,822
gnulib-tests/localename.c,1,0,2,3,1283
src/paste.c,0,5,6,11,5842
lib/libcoreutils_a-mgetgroups.c,0,1,1,2,925
lib/libcoreutils_a-xnanosleep.c,0,0,2,2,261
lib/libcoreutils_a-dtoastr.c,0,1,0,1,613
src/expand.c,0,1,4,5,3919
src/nohup.c,0,1,1,2,2900
lib/libcoreutils_a-mini-mpq-gnulib.c,0,1,1,2,5391
lib/libcoreutils_a-careadlinkat.c,0,0,1,1,802
lib/libcoreutils_a-readutmp.c,0,2,6,8,3421
lib/libcoreutils_a-fopen.c,0,1,1,2,1322
