file,File,Repo,File,for loops,while loops,do-while loops,total,File,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
crypto/ml_kem/ml_kem.c,crypto/ml_kem/ml_kem.c,openssl,crypto/ml_kem/ml_kem.c,17,1,21,18,crypto/ml_kem/ml_kem.c,crypto/ml_kem/ml_kem.c,0,4,64,4,crypto/ml_kem/ml_kem.c,6,4,64,74
crypto/params_from_text.c,crypto/params_from_text.c,openssl,crypto/params_from_text.c,2,0,0,2,crypto/params_from_text.c,crypto/params_from_text.c,0,0,3,0,crypto/params_from_text.c,1,0,3,4
crypto/cmp/cmp_genm.c,crypto/cmp/cmp_genm.c,openssl,crypto/cmp/cmp_genm.c,5,0,0,5,crypto/cmp/cmp_genm.c,crypto/cmp/cmp_genm.c,3,0,3,3,crypto/cmp/cmp_genm.c,4,0,3,7
crypto/cmp/cmp_ctx.c,crypto/cmp/cmp_ctx.c,openssl,crypto/cmp/cmp_ctx.c,0,0,0,0,crypto/cmp/cmp_ctx.c,crypto/cmp/cmp_ctx.c,0,0,0,0,crypto/cmp/cmp_ctx.c,2,0,0,2
crypto/bn/bn_mul.c,crypto/bn/bn_mul.c,openssl,crypto/bn/bn_mul.c,5,1,2,6,crypto/bn/bn_mul.c,crypto/bn/bn_mul.c,1,5,3,6,crypto/bn/bn_mul.c,3,5,3,11
crypto/bn/bn_blind.c,crypto/bn/bn_blind.c,openssl,crypto/bn/bn_blind.c,1,0,1,1,crypto/bn/bn_blind.c,crypto/bn/bn_blind.c,0,0,2,0,crypto/bn/bn_blind.c,1,0,2,3
crypto/bn/bn_exp.c,crypto/bn/bn_exp.c,openssl,crypto/bn/bn_exp.c,37,4,0,41,crypto/bn/bn_exp.c,crypto/bn/bn_exp.c,1,5,37,6,crypto/bn/bn_exp.c,2,5,37,44
crypto/bn/rsaz_exp.c,crypto/bn/rsaz_exp.c,openssl,crypto/bn/rsaz_exp.c,3,1,0,4,crypto/bn/rsaz_exp.c,crypto/bn/rsaz_exp.c,0,0,3,0,crypto/bn/rsaz_exp.c,1,0,3,4
crypto/bn/rsaz_exp_x2.c,crypto/bn/rsaz_exp_x2.c,openssl,crypto/bn/rsaz_exp_x2.c,7,0,0,7,crypto/bn/rsaz_exp_x2.c,crypto/bn/rsaz_exp_x2.c,4,1,6,5,crypto/bn/rsaz_exp_x2.c,6,1,6,13
crypto/bn/bn_nist.c,crypto/bn/bn_nist.c,openssl,crypto/bn/bn_nist.c,4,0,0,4,crypto/bn/bn_nist.c,crypto/bn/bn_nist.c,1,0,4,1,crypto/bn/bn_nist.c,13,0,4,17
