bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
copy_effects.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/drivers gles3 effects copy_effects.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
audio_driver_pulseaudio.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/drivers pulseaudio audio_driver_pulseaudio.linuxbsd.editor.x86_64.c,9,13,12,34,,,,,
variant_parser.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/core variant variant_parser.linuxbsd.editor.x86_64.c,17,26,82,125,,,,,
libcrypto-lib-asn1_err.c,../samples/decompilations/rerolled/crypto asn1 libcrypto-lib-asn1_err.c,0,0,0,0,,,,,
libcrypto-lib-a_i2d_fp.c,../samples/decompilations/rerolled/crypto asn1 libcrypto-lib-a_i2d_fp.c,0,0,0,0,,,,,
dirname.c,../samples/decompilations/rerolled/src dirname.c,0,0,0,0,../samples/.cache/coreutils/coreutils-9.7/lib/dirname.c,0,0,0,0
list_test-bin-list_test.c,../samples/decompilations/rerolled/test list_test-bin-list_test.c,0,0,0,0,,,,,
libcrypto-lib-p12_p8e.c,../samples/decompilations/rerolled/crypto pkcs12 libcrypto-lib-p12_p8e.c,0,0,0,0,,,,,
libssl-shlib-t1_enc.c,../samples/decompilations/rerolled/ssl libssl-shlib-t1_enc.c,0,0,0,0,,,,,
project_list.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/editor project_manager project_list.linuxbsd.editor.x86_64.c,25,38,78,141,,,,,
libcrypto-shlib-ec2_oct.c,../samples/decompilations/rerolled/crypto ec libcrypto-shlib-ec2_oct.c,0,0,0,0,,,,,
navigation_link_2d_editor_plugin.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/editor plugins navigation_link_2d_editor_plugin.linuxbsd.editor.x86_64.c,7,2,11,20,,,,,
gltf_skin.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/modules gltf structures gltf_skin.linuxbsd.editor.x86_64.c,11,20,35,66,,,,,
primitive4.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty embree kernels geometry primitive4.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libcrypto-lib-s_lib.c,../samples/decompilations/rerolled/crypto evp libcrypto-lib-s_lib.c,1,0,0,1,,,,,
sslapitest-bin-tls-provider.c,../samples/decompilations/rerolled/test sslapitest-bin-tls-provider.c,14,3,28,45,,,,,
libcrypto-shlib-p12_p8d.c,../samples/decompilations/rerolled/crypto pkcs12 libcrypto-shlib-p12_p8d.c,0,0,0,0,,,,,
gmdifftest-bin-gmdifftest.c,../samples/decompilations/rerolled/test gmdifftest-bin-gmdifftest.c,0,0,0,0,,,,,
property_selector.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/editor property_selector.linuxbsd.editor.x86_64.c,14,14,33,61,,,,,
native_menu.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/servers display native_menu.linuxbsd.editor.x86_64.c,36,1,27,64,,,,,
libcrypto-lib-ocsp_vfy.c,../samples/decompilations/rerolled/crypto ocsp libcrypto-lib-ocsp_vfy.c,0,0,0,0,,,,,
