bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total loops,total nodes,File,for loops,while loops,do-while loops,total loops,total nodes
crypto/modes/aes-gcm-avx512.c,crypto/modes/aes-gcm-avx512.c,72,0,0,72,131043,crypto/modes/aes-gcm-avx512.c,174,0,0,174,80208
ssl/record/methods/tls13_meth.c,ssl/record/methods/tls13_meth.c,0,0,1,1,5610,ssl/record/methods/tls13_meth.c,1,0,1,2,5296
crypto/modes/ccm128.c,crypto/modes/ccm128.c,0,0,9,9,27161,crypto/modes/ccm128.c,17,0,9,26,26251
test/helpers/tls13ccstest-bin-ssltestlib.c,test/helpers/tls13ccstest-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/tls13ccstest-bin-ssltestlib.c,6,7,12,25,18505
test/helpers/quic_radix_test-bin-quictestlib.c,test/helpers/quic_radix_test-bin-quictestlib.c,0,1,11,12,15422,test/helpers/quic_radix_test-bin-quictestlib.c,1,1,11,13,15095
apps/openssl-bin-passwd.c,apps/openssl-bin-passwd.c,3,4,40,47,12374,apps/openssl-bin-passwd.c,5,4,40,49,11561
apps/s_cb.c,apps/s_cb.c,3,9,23,35,20580,apps/s_cb.c,4,9,23,36,20120
test/evp_test-bin-evp_test.c,test/evp_test-bin-evp_test.c,10,14,36,60,80095,test/evp_test-bin-evp_test.c,13,14,39,66,79151
ssl/quic/quic_record_rx.c,ssl/quic/quic_record_rx.c,0,7,4,11,22872,ssl/quic/quic_record_rx.c,1,7,4,12,22087
test/helpers/quic_newcid_test-bin-quictestlib.c,test/helpers/quic_newcid_test-bin-quictestlib.c,0,1,11,12,15422,test/helpers/quic_newcid_test-bin-quictestlib.c,1,1,11,13,15095
test/helpers/quic_srt_gen_test-bin-quictestlib.c,test/helpers/quic_srt_gen_test-bin-quictestlib.c,0,1,11,12,15422,test/helpers/quic_srt_gen_test-bin-quictestlib.c,1,1,11,13,15095
test/helpers/quic_newcid_test-bin-ssltestlib.c,test/helpers/quic_newcid_test-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/quic_newcid_test-bin-ssltestlib.c,6,7,12,25,18505
test/helpers/fatalerrtest-bin-ssltestlib.c,test/helpers/fatalerrtest-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/fatalerrtest-bin-ssltestlib.c,6,7,12,25,18505
crypto/err/err.c,crypto/err/err.c,2,2,21,25,35067,crypto/err/err.c,66,2,21,89,34690
test/bio_enc_test-bin-bio_enc_test.c,test/bio_enc_test-bin-bio_enc_test.c,6,2,3,11,3898,test/bio_enc_test-bin-bio_enc_test.c,11,2,3,16,3627
apps/openssl-bin-ca.c,apps/openssl-bin-ca.c,6,4,13,23,26851,apps/openssl-bin-ca.c,11,4,13,28,26589
