File,for loops,while loops,do-while loops,total
crypto/engine/libcrypto-lib-eng_list.c,1,0,4,1
crypto/bio/libcrypto-shlib-bss_log.c,0,1,0,1
crypto/ct/libcrypto-shlib-ct_sct.c,0,0,1,0
crypto/encode_decode/libcrypto-lib-decoder_meth.c,0,1,1,1
crypto/modes/libcrypto-shlib-aesni-gcm-x86_64.c,40,0,0,40
crypto/ct/libcrypto-lib-ct_policy.c,0,0,0,0
test/bio_prefix_text-bin-bio_prefix_text.c,0,2,3,2
crypto/x509/libcrypto-lib-x509_req.c,0,2,0,2
crypto/rsa/libcrypto-lib-rsa_saos.c,0,0,0,0
crypto/store/libcrypto-lib-store_register.c,0,0,3,0
test/buildtest_c_sha-bin-buildtest_sha.c,0,0,0,0
crypto/slh_dsa/libcrypto-lib-slh_dsa.c,0,0,2,0
test/buildtest_c_aes-bin-buildtest_aes.c,0,0,0,0
ssl/libssl-lib-ssl_stat.c,0,0,0,0
crypto/pkcs12/libcrypto-shlib-p12_add.c,1,0,0,1
crypto/bn/libcrypto-lib-rsaz-2k-avx512.c,0,0,1,0
crypto/asn1/libcrypto-lib-a_d2i_fp.c,0,1,2,1
crypto/store/libcrypto-shlib-store_lib.c,1,0,1,1
crypto/libcrypto-lib-ebcdic.c,0,0,0,0
test/buildtest_c_blowfish-bin-buildtest_blowfish.c,0,0,0,0
crypto/x509/libcrypto-shlib-by_file.c,0,2,1,2
test/namemap_internal_test-bin-namemap_internal_test.c,0,0,0,0
crypto/asn1/libcrypto-shlib-a_utf8.c,0,0,0,0
apps/lib/libapps-lib-s_socket.c,0,2,6,2
crypto/aes/libcrypto-lib-aesni-sha1-x86_64.c,0,3,2,3
crypto/asn1/libcrypto-shlib-tasn_dec.c,0,3,10,3
crypto/dsa/libcrypto-lib-dsa_ossl.c,0,0,5,0
fuzz/x509-test-bin-fuzz_rand.c,0,0,1,0
test/evp_libctx_test-bin-evp_libctx_test.c,0,0,1,0
