File,for loops,while loops,do-while loops,total
../samples/decompilations/rerolled/thirdparty pcre2 src pcre2_auto_possess_16.linuxbsd.editor.x86_64.c,3,3,9,15
../samples/decompilations/rerolled/crypto dh libcrypto-lib-dh_backend.c,0,0,0,0
../samples/decompilations/rerolled/providers implementations encode_decode libdefault-lib-decode_pvk2key.c,1,0,0,1
../samples/decompilations/rerolled/scene theme theme_owner.linuxbsd.editor.x86_64.c,9,13,8,30
../samples/decompilations/rerolled/ssl libssl-lib-t1_lib.c,11,15,59,85
../samples/decompilations/rerolled/thirdparty icu4c common ustack.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/providers implementations ciphers libdefault-lib-cipher_chacha20_hw.c,2,2,3,7
../samples/decompilations/rerolled/scene gui link_button.linuxbsd.editor.x86_64.c,5,0,9,14
../samples/decompilations/rerolled/src find-mount-point.c,0,0,0,0
../samples/decompilations/rerolled/modules multiplayer scene_replication_config.linuxbsd.editor.x86_64.c,14,1,39,54
../samples/decompilations/rerolled/thirdparty libwebp src dsp upsampling_mips_dsp_r2.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/modules navigation register_types.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty zstd decompress huf_decompress_amd64.linuxbsd.editor.x86_64.c,5,1,1,7
../samples/decompilations/rerolled/platform linuxbsd fontconfig-so_wrap.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/crypto bf libcrypto-lib-bf_enc.c,2,0,2,4
../samples/decompilations/rerolled/scene 3d world_environment.linuxbsd.editor.x86_64.c,4,1,9,14
../samples/decompilations/rerolled/crypto x509 libcrypto-shlib-v3_sxnet.c,0,0,0,0
../samples/decompilations/rerolled/crypto bio libcrypto-shlib-bio_print.c,0,0,0,0
../samples/decompilations/rerolled/crypto x509 libcrypto-lib-x509_cmp.c,0,0,0,0
../samples/decompilations/rerolled/crypto ec libcrypto-shlib-ecx_meth.c,0,0,0,0
../samples/decompilations/rerolled/src rm.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty libvorbis registry.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/core io translation_loader_po.linuxbsd.editor.x86_64.c,9,11,16,36
../samples/decompilations/rerolled/crypto rc2 libcrypto-shlib-rc2cfb64.c,0,0,0,0
../samples/decompilations/rerolled/crypto libcrypto-shlib-x86_64cpuid.c,2,2,10,14
../samples/decompilations/rerolled/editor gui editor_file_dialog.linuxbsd.editor.x86_64.c,34,47,107,188
../samples/decompilations/rerolled/crypto seed libcrypto-shlib-seed_cbc.c,0,0,0,0
../samples/decompilations/rerolled/modules dds texture_loader_dds.linuxbsd.editor.x86_64.c,12,1,26,39
../samples/decompilations/rerolled/providers libcrypto-lib-nullprov.c,0,0,0,0
../samples/decompilations/rerolled/modules openxr extensions openxr_fb_foveation_extension.linuxbsd.editor.x86_64.c,1,1,8,10
../samples/decompilations/rerolled/core math quaternion.linuxbsd.editor.x86_64.c,1,0,0,1
../samples/decompilations/rerolled/crypto des libcrypto-lib-rand_key.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty freetype src base ftdebug.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/apps openssl-bin-rsautl.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty pcre2 src pcre2_tables_32.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/ssl quic libssl-shlib-quic_sstream.c,0,0,0,0
../samples/decompilations/rerolled/drivers gles3 storage particles_storage.linuxbsd.editor.x86_64.c,20,42,69,131
../samples/decompilations/rerolled/test helpers cmp_client_test-bin-cmp_testlib.c,0,0,0,0
../samples/decompilations/rerolled/modules gdscript editor gdscript_highlighter.linuxbsd.editor.x86_64.c,17,23,70,110
../samples/decompilations/rerolled/editor gui editor_scene_tabs.linuxbsd.editor.x86_64.c,11,12,27,50
../samples/decompilations/rerolled/scene 2d physics shape_cast_2d.linuxbsd.editor.x86_64.c,7,9,23,39
../samples/decompilations/rerolled/crypto libcrypto-lib-mem.c,2,0,0,2
../samples/decompilations/rerolled/editor plugins polygon_3d_editor_plugin.linuxbsd.editor.x86_64.c,16,8,23,47
../samples/decompilations/rerolled/providers liblegacy-lib-prov_running.c,0,0,0,0
../samples/decompilations/rerolled/lib libcoreutils_a-mbsrtowcs-state.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty icu4c common ucnvisci.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/servers audio effects audio_effect_distortion.linuxbsd.editor.x86_64.c,8,9,20,37
../samples/decompilations/rerolled/test buildtest_c_hmac-bin-buildtest_hmac.c,0,0,0,0
../samples/decompilations/rerolled/providers implementations digests libdefault-lib-sm3_prov.c,1,0,0,1
../samples/decompilations/rerolled/core io image.linuxbsd.editor.x86_64.c,13,24,389,426
../samples/decompilations/rerolled/servers rendering renderer_rd forward_clustered render_forward_clustered.linuxbsd.editor.x86_64.c,23,106,274,403
../samples/decompilations/rerolled/thirdparty meshoptimizer overdrawoptimizer.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty icu4c common uset.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/apps lib ca_internals_test-bin-app_x509.c,0,0,0,0
../samples/decompilations/rerolled/lib libcoreutils_a-c-strtod.c,0,0,0,0
../samples/decompilations/rerolled/editor plugins gizmos marker_3d_gizmo_plugin.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/fuzz cms-test-bin-cms.c,0,0,0,0
../samples/decompilations/rerolled/crypto x509 libcrypto-shlib-v3_no_rev_avail.c,0,0,0,0
../samples/decompilations/rerolled/crypto slh_dsa libcrypto-shlib-slh_hypertree.c,0,0,0,0
../samples/decompilations/rerolled/scene resources 2d world_boundary_shape_2d.linuxbsd.editor.x86_64.c,5,1,14,20
../samples/decompilations/rerolled/scene animation animation_node_extension.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/ssl record methods libssl-shlib-tls_common.c,4,6,18,28
../samples/decompilations/rerolled/thirdparty icu4c common uinit.linuxbsd.editor.x86_64.c,0,0,0,0
