bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,Repo,File,for loops,while loops,do-while loops,total,File,for/loops,while/loops,do-while/loops,total
src/logname.c,src/logname.c,coreutils,src/logname.c,0,0,0,0,src/logname.c,0,0,0,0
src/truncate.c,src/truncate.c,coreutils,src/truncate.c,1,3,0,4,src/truncate.c,0,0,0,0
src/chown-core.c,src/chown-core.c,coreutils,src/chown-core.c,0,1,0,1,src/chown-core.c,0,0,0,0
src/ls-dir.c,src/ls-dir.c,coreutils,src/ls-dir.c,0,0,0,0,src/ls-dir.c,0,0,0,0
src/realpath.c,src/realpath.c,coreutils,src/realpath.c,1,2,0,3,src/realpath.c,0,0,0,0
src/mknod.c,src/mknod.c,coreutils,src/mknod.c,0,1,0,1,src/mknod.c,0,0,0,0
src/nohup.c,src/nohup.c,coreutils,src/nohup.c,0,0,0,0,src/nohup.c,0,0,0,0
src/crctab.c,src/crctab.c,coreutils,src/crctab.c,0,0,0,0,,,,,
lib/unsetenv.c,lib/unsetenv.c,coreutils,lib/unsetenv.c,0,2,1,2,,,,,
lib/regex.c,lib/regex.c,coreutils,lib/regex.c,0,0,0,0,,,,,
lib/iconv_close.c,lib/iconv_close.c,coreutils,lib/iconv_close.c,0,0,0,0,,,,,
lib/iswxdigit.c,lib/iswxdigit.c,coreutils,lib/iswxdigit.c,0,0,0,0,,,,,
lib/chownat.c,lib/chownat.c,coreutils,lib/chownat.c,0,0,0,0,,,,,
lib/at-func2.c,lib/at-func2.c,coreutils,lib/at-func2.c,0,0,0,0,,,,,
lib/fsusage.c,lib/fsusage.c,coreutils,lib/fsusage.c,0,0,0,0,,,,,
lib/mini-gmp-gnulib.c,lib/mini-gmp-gnulib.c,coreutils,lib/mini-gmp-gnulib.c,0,0,0,0,,,,,
lib/cl-strtod.c,lib/cl-strtod.c,coreutils,lib/cl-strtod.c,0,0,0,0,,,,,
lib/write.c,lib/write.c,coreutils,lib/write.c,1,0,0,1,,,,,
lib/readlinkat.c,lib/readlinkat.c,coreutils,lib/readlinkat.c,0,0,0,0,,,,,
lib/acl_entries.c,lib/acl_entries.c,coreutils,lib/acl_entries.c,2,0,0,2,,,,,
lib/frexpl.c,lib/frexpl.c,coreutils,lib/frexpl.c,0,0,0,0,,,,,
lib/mbtowc.c,lib/mbtowc.c,coreutils,lib/mbtowc.c,0,0,0,0,,,,,
lib/stat-w32.c,lib/stat-w32.c,coreutils,lib/stat-w32.c,1,0,0,1,,,,,
lib/getloadavg.c,lib/getloadavg.c,coreutils,lib/getloadavg.c,7,2,0,9,,,,,
lib/allocator.c,lib/allocator.c,coreutils,lib/allocator.c,0,0,0,0,,,,,
lib/utimensat.c,lib/utimensat.c,coreutils,lib/utimensat.c,0,0,0,0,,,,,
lib/savedir.c,lib/savedir.c,coreutils,lib/savedir.c,2,0,0,2,,,,,
lib/umaxtostr.c,lib/umaxtostr.c,coreutils,lib/umaxtostr.c,0,0,0,0,,,,,
lib/xstrtoimax.c,lib/xstrtoimax.c,coreutils,lib/xstrtoimax.c,0,0,0,0,,,,,
lib/exitfail.c,lib/exitfail.c,coreutils,lib/exitfail.c,0,0,0,0,,,,,
lib/opendir.c,lib/opendir.c,coreutils,lib/opendir.c,0,0,0,0,,,,,
lib/putenv.c,lib/putenv.c,coreutils,lib/putenv.c,2,0,0,2,,,,,
lib/sha512-stream.c,lib/sha512-stream.c,coreutils,lib/sha512-stream.c,0,2,0,2,,,,,
lib/fprintftime.c,lib/fprintftime.c,coreutils,lib/fprintftime.c,0,0,0,0,,,,,
lib/xtime.c,lib/xtime.c,coreutils,lib/xtime.c,0,0,0,0,,,,,
lib/se-context.c,lib/se-context.c,coreutils,lib/se-context.c,0,0,0,0,,,,,
lib/c32width.c,lib/c32width.c,coreutils,lib/c32width.c,0,0,0,0,,,,,
lib/selinux-at.c,lib/selinux-at.c,coreutils,lib/selinux-at.c,0,0,0,0,,,,,
lib/md5.c,lib/md5.c,coreutils,lib/md5.c,0,2,0,2,,,,,
lib/group-member.c,lib/group-member.c,coreutils,lib/group-member.c,2,0,0,2,,,,,
lib/uname.c,lib/uname.c,coreutils,lib/uname.c,0,1,0,1,,,,,
lib/c32isalnum.c,lib/c32isalnum.c,coreutils,lib/c32isalnum.c,0,0,0,0,,,,,
lib/tzset.c,lib/tzset.c,coreutils,lib/tzset.c,2,0,0,2,,,,,
lib/unictype/ctype_print.c,lib/unictype/ctype_print.c,coreutils,lib/unictype/ctype_print.c,0,0,0,0,,,,,
lib/unictype/ctype_upper.c,lib/unictype/ctype_upper.c,coreutils,lib/unictype/ctype_upper.c,0,0,0,0,,,,,
lib/unictype/ctype_blank.c,lib/unictype/ctype_blank.c,coreutils,lib/unictype/ctype_blank.c,0,0,0,0,,,,,
lib/unictype/ctype_space.c,lib/unictype/ctype_space.c,coreutils,lib/unictype/ctype_space.c,0,0,0,0,,,,,
lib/unictype/ctype_graph.c,lib/unictype/ctype_graph.c,coreutils,lib/unictype/ctype_graph.c,0,0,0,0,,,,,
lib/unictype/ctype_alnum.c,lib/unictype/ctype_alnum.c,coreutils,lib/unictype/ctype_alnum.c,0,0,0,0,,,,,
lib/unictype/ctype_cntrl.c,lib/unictype/ctype_cntrl.c,coreutils,lib/unictype/ctype_cntrl.c,0,0,0,0,,,,,
lib/unictype/ctype_lower.c,lib/unictype/ctype_lower.c,coreutils,lib/unictype/ctype_lower.c,0,0,0,0,,,,,
lib/unictype/ctype_alpha.c,lib/unictype/ctype_alpha.c,coreutils,lib/unictype/ctype_alpha.c,0,0,0,0,,,,,
lib/unictype/ctype_xdigit.c,lib/unictype/ctype_xdigit.c,coreutils,lib/unictype/ctype_xdigit.c,0,0,0,0,,,,,
lib/unictype/ctype_punct.c,lib/unictype/ctype_punct.c,coreutils,lib/unictype/ctype_punct.c,0,0,0,0,,,,,
lib/unictype/ctype_digit.c,lib/unictype/ctype_digit.c,coreutils,lib/unictype/ctype_digit.c,0,0,0,0,,,,,
lib/ftell.c,lib/ftell.c,coreutils,lib/ftell.c,0,0,0,0,,,,,
lib/getcwd-lgpl.c,lib/getcwd-lgpl.c,coreutils,lib/getcwd-lgpl.c,0,0,1,0,,,,,
lib/pthread-cond.c,lib/pthread-cond.c,coreutils,lib/pthread-cond.c,2,0,0,2,,,,,
lib/sm3-stream.c,lib/sm3-stream.c,coreutils,lib/sm3-stream.c,0,2,0,2,,,,,
lib/signbitd.c,lib/signbitd.c,coreutils,lib/signbitd.c,0,0,0,0,,,,,
lib/freopen-safer.c,lib/freopen-safer.c,coreutils,lib/freopen-safer.c,0,0,0,0,,,,,
lib/strsignal.c,lib/strsignal.c,coreutils,lib/strsignal.c,0,0,0,0,,,,,
lib/unlinkdir.c,lib/unlinkdir.c,coreutils,lib/unlinkdir.c,0,0,0,0,,,,,
lib/anytostr.c,lib/anytostr.c,coreutils,lib/anytostr.c,0,0,2,0,,,,,
lib/xstrtol-error.c,lib/xstrtol-error.c,coreutils,lib/xstrtol-error.c,0,0,0,0,,,,,
lib/strintcmp.c,lib/strintcmp.c,coreutils,lib/strintcmp.c,0,0,0,0,,,,,
lib/dup.c,lib/dup.c,coreutils,lib/dup.c,0,0,0,0,,,,,
lib/pthread_sigmask.c,lib/pthread_sigmask.c,coreutils,lib/pthread_sigmask.c,0,0,0,0,,,,,
lib/at-func.c,lib/at-func.c,coreutils,lib/at-func.c,0,0,0,0,,,,,
lib/lchown.c,lib/lchown.c,coreutils,lib/lchown.c,0,0,0,0,,,,,
lib/sys_socket.c,lib/sys_socket.c,coreutils,lib/sys_socket.c,0,0,0,0,,,,,
lib/argv-iter.c,lib/argv-iter.c,coreutils,lib/argv-iter.c,0,0,0,0,,,,,
lib/basename-lgpl.c,lib/basename-lgpl.c,coreutils,lib/basename-lgpl.c,2,1,0,3,,,,,
lib/c-strncasecmp.c,lib/c-strncasecmp.c,coreutils,lib/c-strncasecmp.c,0,0,1,0,,,,,
lib/getugroups.c,lib/getugroups.c,coreutils,lib/getugroups.c,2,1,0,3,,,,,
lib/isatty.c,lib/isatty.c,coreutils,lib/isatty.c,0,0,0,0,,,,,
lib/offtostr.c,lib/offtostr.c,coreutils,lib/offtostr.c,0,0,0,0,,,,,
lib/localeconv.c,lib/localeconv.c,coreutils,lib/localeconv.c,0,0,0,0,,,,,
lib/linkat.c,lib/linkat.c,coreutils,lib/linkat.c,0,2,0,2,,,,,
lib/savewd.c,lib/savewd.c,coreutils,lib/savewd.c,3,1,0,4,,,,,
lib/strtol.c,lib/strtol.c,coreutils,lib/strtol.c,2,1,0,3,,,,,
lib/opendirat.c,lib/opendirat.c,coreutils,lib/opendirat.c,0,0,0,0,,,,,
lib/windows-recmutex.c,lib/windows-recmutex.c,coreutils,lib/windows-recmutex.c,0,1,0,1,,,,,
lib/getdelim.c,lib/getdelim.c,coreutils,lib/getdelim.c,1,0,0,1,,,,,
lib/wctype.c,lib/wctype.c,coreutils,lib/wctype.c,0,0,0,0,,,,,
lib/iswctype.c,lib/iswctype.c,coreutils,lib/iswctype.c,0,0,0,0,,,,,
lib/setlocale-lock.c,lib/setlocale-lock.c,coreutils,lib/setlocale-lock.c,0,1,0,1,,,,,
lib/windows-once.c,lib/windows-once.c,coreutils,lib/windows-once.c,0,1,0,1,,,,,
lib/stdc_trailing_zeros.c,lib/stdc_trailing_zeros.c,coreutils,lib/stdc_trailing_zeros.c,0,0,0,0,,,,,
lib/fchown-stub.c,lib/fchown-stub.c,coreutils,lib/fchown-stub.c,0,0,0,0,,,,,
lib/mkstemp-safer.c,lib/mkstemp-safer.c,coreutils,lib/mkstemp-safer.c,0,0,0,0,,,,,
lib/xvasprintf.c,lib/xvasprintf.c,coreutils,lib/xvasprintf.c,3,0,0,3,,,,,
lib/hash.c,lib/hash.c,coreutils,lib/hash.c,22,6,1,28,,,,,
lib/xmemcoll.c,lib/xmemcoll.c,coreutils,lib/xmemcoll.c,0,0,0,0,,,,,
lib/set-permissions.c,lib/set-permissions.c,coreutils,lib/set-permissions.c,2,0,0,2,,,,,
lib/fclose.c,lib/fclose.c,coreutils,lib/fclose.c,0,0,0,0,,,,,
lib/memchr.c,lib/memchr.c,coreutils,lib/memchr.c,3,1,0,4,,,,,
lib/sha512.c,lib/sha512.c,coreutils,lib/sha512.c,3,2,0,5,,,,,
lib/remove.c,lib/remove.c,coreutils,lib/remove.c,0,0,0,0,,,,,
lib/error.c,lib/error.c,coreutils,lib/error.c,0,0,0,0,,,,,
lib/realloc.c,lib/realloc.c,coreutils,lib/realloc.c,0,0,0,0,,,,,
lib/backupfile.c,lib/backupfile.c,coreutils,lib/backupfile.c,2,2,0,4,,,,,
lib/closein.c,lib/closein.c,coreutils,lib/closein.c,0,0,0,0,,,,,
lib/sig-handler.c,lib/sig-handler.c,coreutils,lib/sig-handler.c,0,0,0,0,,,,,
lib/mbsrtoc32s.c,lib/mbsrtoc32s.c,coreutils,lib/mbsrtoc32s.c,0,0,0,0,,,,,
lib/dirfd.c,lib/dirfd.c,coreutils,lib/dirfd.c,0,0,0,0,,,,,
lib/c32isspace.c,lib/c32isspace.c,coreutils,lib/c32isspace.c,0,0,0,0,,,,,
lib/xfts.c,lib/xfts.c,coreutils,lib/xfts.c,0,0,0,0,,,,,
lib/memcoll.c,lib/memcoll.c,coreutils,lib/memcoll.c,0,1,0,1,,,,,
lib/root-dev-ino.c,lib/root-dev-ino.c,coreutils,lib/root-dev-ino.c,0,0,0,0,,,,,
lib/renameatu.c,lib/renameatu.c,coreutils,lib/renameatu.c,0,0,0,0,,,,,
lib/tmpdir.c,lib/tmpdir.c,coreutils,lib/tmpdir.c,0,0,0,0,,,,,
lib/setlocale_null.c,lib/setlocale_null.c,coreutils,lib/setlocale_null.c,0,0,0,0,,,,,
lib/posix_memalign.c,lib/posix_memalign.c,coreutils,lib/posix_memalign.c,0,0,0,0,,,,,
lib/c32isgraph.c,lib/c32isgraph.c,coreutils,lib/c32isgraph.c,0,0,0,0,,,,,
lib/xstrtoul.c,lib/xstrtoul.c,coreutils,lib/xstrtoul.c,0,0,0,0,,,,,
lib/dup-safer.c,lib/dup-safer.c,coreutils,lib/dup-safer.c,0,0,0,0,,,,,
lib/getgroups.c,lib/getgroups.c,coreutils,lib/getgroups.c,0,2,0,2,,,,,
lib/localcharset.c,lib/localcharset.c,coreutils,lib/localcharset.c,0,2,0,2,,,,,
lib/strnumcmp.c,lib/strnumcmp.c,coreutils,lib/strnumcmp.c,0,0,0,0,,,,,
lib/closedir.c,lib/closedir.c,coreutils,lib/closedir.c,0,0,0,0,,,,,
lib/gettime.c,lib/gettime.c,coreutils,lib/gettime.c,0,0,0,0,,,,,
lib/setlocale_null-unlocked.c,lib/setlocale_null-unlocked.c,coreutils,lib/setlocale_null-unlocked.c,2,0,0,2,,,,,
lib/basename.c,lib/basename.c,coreutils,lib/basename.c,0,0,0,0,,,,,
lib/asprintf.c,lib/asprintf.c,coreutils,lib/asprintf.c,0,0,0,0,,,,,
lib/pipe2.c,lib/pipe2.c,coreutils,lib/pipe2.c,0,0,0,0,,,,,
lib/fchownat.c,lib/fchownat.c,coreutils,lib/fchownat.c,0,0,0,0,,,,,
