File,for/loops,while/loops,do-while/loops,total
thirdparty/msdfgen/core/rasterization.c,0,0,12,12
editor/editor_property_name_processor.c,3,8,46,57
core/io/packet_peer_dtls.c,0,0,7,7
thirdparty/libvorbis/lpc.c,0,3,9,12
scene/3d/skeleton_ik_3d.c,5,4,20,29
scene/gui/text_edit.c,0,0,0,0
modules/openxr/editor/openxr_action_editor.c,8,6,15,29
thirdparty/recastnavigation/Recast/Source/Recast.c,2,2,14,18
thirdparty/icu4c/common/sharedobject.c,0,0,0,0
thirdparty/zstd/common/debug.c,0,0,0,0
thirdparty/jpeg-compressor/jpge.c,9,8,55,72
scene/main/missing_node.c,3,5,31,39
thirdparty/rvo2/rvo2_2d/KdTree2d.c,0,3,13,16
thirdparty/libwebp/src/dsp/cost_sse2.c,1,0,1,2
core/io/http_client.c,6,0,18,24
thirdparty/thorvg/src/renderer/sw_engine/tvgSwMemPool.c,0,0,1,1
thirdparty/embree/kernels/common/acceln.c,0,0,16,16
thirdparty/mbedtls/library/platform.c,0,0,0,0
scene/3d/lightmapper.c,3,0,4,7
editor/gui/editor_spin_slider.c,6,12,28,46
editor/plugins/gizmos/occluder_instance_3d_gizmo_plugin.c,5,0,8,13
thirdparty/jolt_physics/Jolt/Physics/IslandBuilder.c,0,6,20,26
scene/gui/scroll_container.c,13,8,21,42
thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/TriangleShape.c,0,0,4,4
thirdparty/embree/kernels/common/rtcore_builder.c,42,79,169,290
thirdparty/mbedtls/library/ssl_ticket.c,1,0,0,1
editor/plugins/shader_file_editor_plugin.c,16,32,64,112
thirdparty/libwebp/src/dsp/cpu.c,0,0,0,0
modules/gdscript/language_server/gdscript_workspace.c,14,32,128,174
thirdparty/icu4c/common/locmap.c,0,2,4,6
thirdparty/jolt_physics/Jolt/Physics/Constraints/ContactConstraintManager.c,15,27,138,180
editor/themes/editor_fonts.c,1,2,5,8
scene/3d/occluder_instance_3d.c,16,9,49,74
editor/surface_upgrade_tool.c,11,7,17,35
modules/text_server_adv/thorvg_svg_in_ot.c,3,10,39,52
core/object/callable_method_pointer.c,0,1,1,2
core/variant/variant_destruct.c,0,0,1,1
thirdparty/libwebp/src/dsp/filters_msa.c,0,0,0,0
thirdparty/vhacd/src/vhacdRaycastMesh.c,0,0,5,5
editor/editor_autoload_settings.c,20,27,66,113
thirdparty/mbedtls/library/rsa_alt_helpers.c,0,0,2,2
core/io/pck_packer.c,1,1,27,29
modules/jolt_physics/shapes/jolt_convex_polygon_shape_3d.c,0,1,7,8
thirdparty/freetype/src/base/ftsynth.c,0,0,0,0
thirdparty/clipper2/src/clipper.rectclip.c,6,19,38,63
platform/windows/export/export.c,0,0,3,3
thirdparty/recastnavigation/Recast/Source/RecastLayers.c,5,1,33,39
servers/register_server_types.c,69,30,230,329
thirdparty/icu4c/common/loclikelysubtags.c,4,4,14,22
modules/csg/register_types.c,0,0,9,9
editor/plugins/camera_3d_editor_plugin.c,15,8,13,36
