File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-base32.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-xtime.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-memcmp2.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib unistr libcoreutils_a-u8-uctomb-aux.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-file-has-acl.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-c32isspace.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-linebuffer.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-freadptr.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-isapipe.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-fopen.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-heap.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-di-set.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc blake2 b2sum-b2sum.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-xsize.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-c32iscntrl.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc od.c,1,7,35,43,20161
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-dtotimespec.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc factor.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-fseeko.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc tsort.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc relpath.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc tac.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-rand-isaac.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc sha512sum-digest.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-strnlen1.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc chown-chgrp.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc join.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-c32tolower.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-sig-handler.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-file-set.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-math.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-printf-frexp.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-xstrtod.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc du.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-fd-safer-flag.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-setlocale_null.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledgnulib-tests ioctl.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc tty.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-same.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-ftoastr.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-xgetgroups.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc timeout.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-time_rz.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledgnulib-tests glthread thread.c,0,0,0,0,1
