File,for loops,while loops,do-while loops,total
../samples/decompilations/rerolled/openssl/crypto pem libcrypto-lib-pvkfmt.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto rsa libcrypto-shlib-rsa_sp800_56b_gen.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl quic libssl-lib-quic_txp.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers common der libcommon-lib-der_ml_dsa_gen.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto asn1 libcrypto-shlib-tasn_dec.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-lib-kdf_lib.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto sm3 libcrypto-shlib-sm3.c,2,0,4,6
../samples/decompilations/rerolled/openssl/crypto bn libcrypto-lib-bn_ctx.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto bn libcrypto-lib-bn_recp.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test buildtest_c_ec-bin-buildtest_ec.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto modes libcrypto-lib-xts128gb.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test ssl_test-bin-ssl_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-shlib-mac_meth.c,0,0,0,0
../samples/decompilations/rerolled/openssl/fuzz ml-kem-test-bin-ml-kem.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto bio libcrypto-shlib-bss_fd.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto err libcrypto-lib-err_all.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto bio libcrypto-shlib-ossl_core_bio.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto des libcrypto-lib-set_key.c,1,0,2,3
../samples/decompilations/rerolled/openssl/providers implementations digests libdefault-lib-blake2b_prov.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl quic libssl-lib-quic_fc.c,1,0,0,1
../samples/decompilations/rerolled/openssl/crypto rsa libcrypto-lib-rsa_oaep.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto libcrypto-lib-provider_core.c,6,1,18,25
../samples/decompilations/rerolled/openssl/test rdcpu_sanitytest-bin-rdcpu_sanitytest.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations ciphers libdefault-lib-cipher_aes_ccm_hw.c,1,0,0,1
../samples/decompilations/rerolled/openssl/test helpers quic_multistream_test-bin-pktsplitbio.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations ciphers libdefault-lib-cipher_aes_cbc_hmac_sha.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-shlib-x509cset.c,3,1,0,4
../samples/decompilations/rerolled/openssl/crypto ocsp libcrypto-shlib-ocsp_ext.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl quic libssl-shlib-quic_tserver.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto des liblegacy-lib-fcrypt_b.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers common der libcommon-lib-der_ml_dsa_key.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test quic_txp_test-bin-cc_dummy.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto err libcrypto-shlib-err_prn.c,2,0,3,5
../samples/decompilations/rerolled/openssl/crypto async arch libcrypto-shlib-async_null.c,0,0,0,0
../samples/decompilations/rerolled/openssl/apps openssl-bin-spkac.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-lib-x_name.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto ts libcrypto-shlib-ts_rsp_sign.c,3,0,3,6
../samples/decompilations/rerolled/openssl/crypto sm4 libcrypto-lib-sm4.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-shlib-e_aes_cbc_hmac_sha1.c,9,2,7,18
../samples/decompilations/rerolled/openssl/crypto pem libcrypto-shlib-pem_lib.c,1,1,8,10
../samples/decompilations/rerolled/openssl/test asn1_time_test-bin-asn1_time_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test testutil libtestutil-lib-cb.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto libssl-shlib-ctype.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto async libcrypto-shlib-async.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto slh_dsa libcrypto-shlib-slh_adrs.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto dh libcrypto-shlib-dh_asn1.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test buildtest_c_txt_db-bin-buildtest_txt_db.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations ciphers libdefault-lib-cipher_null.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test buildtest_c_idea-bin-buildtest_idea.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto engine libcrypto-lib-eng_rdrand.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl rio libssl-shlib-poll_immediate.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto asn1 libcrypto-shlib-asn_moid.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test x509_dup_cert_test-bin-x509_dup_cert_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-shlib-p_dec.c,0,0,0,0
../samples/decompilations/rerolled/openssl/fuzz quic-client-test-bin-fuzz_rand.c,0,0,0,0
../samples/decompilations/rerolled/openssl/apps openssl-bin-skeyutl.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto cast libcrypto-shlib-c_enc.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto store libcrypto-shlib-store_result.c,1,1,1,3
../samples/decompilations/rerolled/openssl/providers libcrypto-lib-baseprov.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-shlib-x_ietfatt.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-shlib-v3_iobo.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-shlib-encode.c,1,3,5,9
../samples/decompilations/rerolled/openssl/providers common libdefault-lib-securitycheck.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto asn1 libcrypto-lib-f_int.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-lib-v3_cpols.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations ciphers libdefault-lib-cipher_sm4_ccm_hw.c,1,0,0,1
../samples/decompilations/rerolled/openssl/test dsa_no_digest_size_test-bin-dsa_no_digest_size_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto store libcrypto-shlib-store_meth.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-shlib-v3_purp.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-lib-v3_aaa.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-lib-e_seed.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto des libcrypto-shlib-ecb3_enc.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations macs libdefault-lib-poly1305_prov.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl statem libssl-shlib-statem_lib.c,5,2,12,19
../samples/decompilations/rerolled/openssl/test helpers quicfaultstest-bin-pktsplitbio.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto bn libcrypto-shlib-bn_err.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto bn libcrypto-shlib-rsaz-x86_64.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto crmf libcrypto-lib-crmf_asn.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto libssl-shlib-quic_vlint.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations rands libdefault-lib-test_rng.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl quic libssl-shlib-quic_obj.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto engine libcrypto-lib-tb_dh.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto bn libcrypto-lib-x86_64-mont5.c,14,10,22,46
../samples/decompilations/rerolled/openssl/crypto ec libcrypto-lib-ecx_meth.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto libcrypto-shlib-o_dir.c,0,0,0,0
