File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/openssl/test pairwise_fail_test-bin-pairwise_fail_test.c,0,1,1,2,2410
../samples/decompilations/openssl/crypto asn1 asn1_time_test-bin-a_time.c,0,1,5,6,11281
../samples/decompilations/openssl/ssl libssl-shlib-ssl_conf.c,0,1,8,9,15828
../samples/decompilations/openssl/crypto encode_decode libcrypto-shlib-encoder_lib.c,0,2,2,4,7544
../samples/decompilations/openssl/test constant_time_test-bin-constant_time_test.c,0,3,7,10,5746
../samples/decompilations/openssl/providers implementations keymgmt libdefault-lib-ml_dsa_kmgmt.c,0,0,0,0,5411
../samples/decompilations/openssl/test buildtest_c_types-bin-buildtest_types.c,0,0,0,0,17
../samples/decompilations/openssl/providers implementations ciphers libdefault-lib-cipher_aes_cbc_hmac_sha256_hw.c,5,3,7,15,21535
../samples/decompilations/openssl/ssl quic libssl-lib-quic_tls_api.c,0,1,0,1,3074
../samples/decompilations/openssl/test ext_internal_test-bin-ext_internal_test.c,0,1,1,2,379
../samples/decompilations/openssl/ssl record libssl-shlib-rec_layer_s3.c,5,2,10,17,22561
../samples/decompilations/openssl/providers implementations ciphers libdefault-lib-cipher_aes_ccm.c,0,0,0,0,838
../samples/decompilations/openssl/crypto slh_dsa libcrypto-shlib-slh_dsa.c,0,0,2,2,3440
../samples/decompilations/openssl/crypto encode_decode libcrypto-lib-decoder_pkey.c,1,1,1,3,7717
../samples/decompilations/openssl/crypto bio libcrypto-shlib-bf_buff.c,0,5,5,10,9890
../samples/decompilations/openssl/crypto dso libcrypto-lib-dso_win32.c,0,0,0,0,1
../samples/decompilations/openssl/test quic_tserver_test-bin-quic_tserver_test.c,1,2,0,3,4786
../samples/decompilations/openssl/providers common der libcommon-lib-der_ec_sig.c,0,0,0,0,413
../samples/decompilations/openssl/crypto bio libcrypto-lib-bss_file.c,0,0,0,0,2834
../samples/decompilations/openssl/crypto evp libcrypto-shlib-evp_lib.c,0,0,0,0,19975
../samples/decompilations/openssl/crypto cms libcrypto-shlib-cms_lib.c,1,1,3,5,10526
../samples/decompilations/openssl/crypto evp libcrypto-lib-e_rc2.c,0,0,5,5,3002
../samples/decompilations/openssl/test packettest-bin-packettest.c,0,1,4,5,20919
../samples/decompilations/openssl/fuzz x509-test-bin-x509.c,0,0,0,0,1758
../samples/decompilations/openssl/providers implementations digests libdefault-lib-sha3_prov.c,2,0,0,2,4859
../samples/decompilations/openssl/crypto sha libcrypto-lib-sha256-mb-x86_64.c,0,1,18,19,154584
../samples/decompilations/openssl/crypto ec libcrypto-shlib-ec_kmeth.c,0,0,0,0,3338
../samples/decompilations/openssl/test siphash_internal_test-bin-siphash_internal_test.c,0,0,1,1,3927
../samples/decompilations/openssl/crypto evp libcrypto-lib-e_chacha20_poly1305.c,0,2,5,7,9915
../samples/decompilations/openssl/providers implementations ciphers libdefault-lib-cipher_aria_ccm.c,0,0,0,0,856
../samples/decompilations/openssl/ssl quic libssl-shlib-quic_rcidm.c,0,3,1,4,19461
../samples/decompilations/openssl/crypto sha libcrypto-shlib-sha1-x86_64.c,0,3,5,8,68871
../samples/decompilations/openssl/ssl quic libssl-lib-quic_reactor.c,0,3,1,4,4038
../samples/decompilations/openssl/ssl quic libssl-shlib-quic_fc.c,0,0,0,0,3666
../samples/decompilations/openssl/test quic_cfq_test-bin-quic_cfq_test.c,0,2,9,11,1563
../samples/decompilations/openssl/test recordlentest-bin-recordlentest.c,1,0,1,2,1813
../samples/decompilations/openssl/fuzz decoder-test-bin-fuzz_rand.c,0,0,1,1,1942
../samples/decompilations/openssl/test testutil libtestutil-lib-driver.c,0,2,10,12,5435
../samples/decompilations/openssl/test ffc_internal_test-bin-ffc_internal_test.c,0,0,0,0,7536
../samples/decompilations/openssl/crypto x509 libcrypto-lib-t_x509.c,0,3,8,11,7299
../samples/decompilations/openssl/providers implementations macs libdefault-lib-kmac_prov.c,0,0,3,3,5389
../samples/decompilations/openssl/crypto dsa libcrypto-shlib-dsa_asn1.c,0,0,0,0,610
../samples/decompilations/openssl/crypto ec libcrypto-shlib-ec_pmeth.c,0,0,0,0,5198
../samples/decompilations/openssl/ssl libssl-shlib-ssl_cert_comp.c,0,0,0,0,298
../samples/decompilations/openssl/crypto evp libcrypto-lib-p_seal.c,0,0,1,1,925
../samples/decompilations/openssl/crypto cast libcrypto-lib-c_cfb64.c,0,0,2,2,1088
../samples/decompilations/openssl/test afalgtest-bin-afalgtest.c,0,0,0,0,1310
../samples/decompilations/openssl/test buildtest_c_cast-bin-buildtest_cast.c,0,0,0,0,17
../samples/decompilations/openssl/ssl quic libssl-shlib-quic_trace.c,0,0,9,9,4267
../samples/decompilations/openssl/providers implementations kem libdefault-lib-ml_kem_kem.c,0,0,0,0,2730
../samples/decompilations/openssl/test endecoder_legacy_test-bin-endecoder_legacy_test.c,0,0,8,8,7361
../samples/decompilations/openssl/crypto evp libcrypto-lib-c_allc.c,0,0,0,0,3839
../samples/decompilations/openssl/crypto dsa libcrypto-lib-dsa_ameth.c,0,0,0,0,6007
../samples/decompilations/openssl/crypto des libcrypto-lib-ofb64ede.c,0,0,1,1,950
../samples/decompilations/openssl/crypto cms libcrypto-lib-cms_lib.c,1,1,3,5,10526
../samples/decompilations/openssl/test poly1305_internal_test-bin-poly1305_internal_test.c,1,0,1,2,938
../samples/decompilations/openssl/test bio_addr_test-bin-bio_addr_test.c,0,0,0,0,1325
../samples/decompilations/openssl/crypto x509 libcrypto-lib-x_x509.c,0,0,0,0,3944
../samples/decompilations/openssl/crypto pem libcrypto-lib-pvkfmt.c,0,0,0,0,14292
../samples/decompilations/openssl/crypto rsa libcrypto-shlib-rsa_sp800_56b_gen.c,0,0,3,3,3718
../samples/decompilations/openssl/ssl quic libssl-lib-quic_txp.c,3,1,13,17,27072
../samples/decompilations/openssl/providers common der libcommon-lib-der_ml_dsa_gen.c,0,0,0,0,1
../samples/decompilations/openssl/crypto asn1 libcrypto-shlib-tasn_dec.c,0,3,10,13,16620
../samples/decompilations/openssl/crypto evp libcrypto-lib-kdf_lib.c,0,0,0,0,2158
../samples/decompilations/openssl/crypto sm3 libcrypto-shlib-sm3.c,0,0,4,4,19775
../samples/decompilations/openssl/crypto bn libcrypto-lib-bn_ctx.c,0,1,4,5,2909
../samples/decompilations/openssl/crypto bn libcrypto-lib-bn_recp.c,0,1,0,1,1792
../samples/decompilations/openssl/test buildtest_c_ec-bin-buildtest_ec.c,0,0,0,0,17
../samples/decompilations/openssl/crypto modes libcrypto-lib-xts128gb.c,0,0,1,1,7149
../samples/decompilations/openssl/test ssl_test-bin-ssl_test.c,2,1,0,3,7594
../samples/decompilations/openssl/crypto evp libcrypto-shlib-mac_meth.c,0,0,1,1,2758
../samples/decompilations/openssl/fuzz ml-kem-test-bin-ml-kem.c,0,0,1,1,3334
../samples/decompilations/openssl/crypto bio libcrypto-shlib-bss_fd.c,0,1,0,1,2323
../samples/decompilations/openssl/crypto err libcrypto-lib-err_all.c,0,0,0,0,818
../samples/decompilations/openssl/crypto bio libcrypto-shlib-ossl_core_bio.c,0,0,0,0,1266
../samples/decompilations/openssl/crypto des libcrypto-lib-set_key.c,0,0,2,2,2266
../samples/decompilations/openssl/providers implementations digests libdefault-lib-blake2b_prov.c,2,0,1,3,19442
../samples/decompilations/openssl/ssl quic libssl-lib-quic_fc.c,0,0,0,0,3666
../samples/decompilations/openssl/crypto rsa libcrypto-lib-rsa_oaep.c,0,0,8,8,7572
../samples/decompilations/openssl/crypto libcrypto-lib-provider_core.c,3,1,18,22,22195
../samples/decompilations/openssl/test rdcpu_sanitytest-bin-rdcpu_sanitytest.c,0,0,0,0,17
../samples/decompilations/openssl/providers implementations ciphers libdefault-lib-cipher_aes_ccm_hw.c,0,0,0,0,539
../samples/decompilations/openssl/test helpers quic_multistream_test-bin-pktsplitbio.c,0,0,3,3,1241
../samples/decompilations/openssl/providers implementations ciphers libdefault-lib-cipher_aes_cbc_hmac_sha.c,0,0,0,0,3675
../samples/decompilations/openssl/crypto x509 libcrypto-shlib-x509cset.c,0,1,0,1,1633
../samples/decompilations/openssl/crypto ocsp libcrypto-shlib-ocsp_ext.c,2,0,0,2,4759
../samples/decompilations/openssl/ssl quic libssl-shlib-quic_tserver.c,0,0,0,0,6100
../samples/decompilations/openssl/crypto des liblegacy-lib-fcrypt_b.c,0,0,1,1,6535
../samples/decompilations/openssl/providers common der libcommon-lib-der_ml_dsa_key.c,0,0,0,0,262
../samples/decompilations/openssl/test quic_txp_test-bin-cc_dummy.c,0,0,0,0,762
../samples/decompilations/openssl/crypto err libcrypto-shlib-err_prn.c,1,0,3,4,2198
../samples/decompilations/openssl/crypto async arch libcrypto-shlib-async_null.c,0,0,0,0,1
../samples/decompilations/openssl/apps openssl-bin-spkac.c,0,0,0,0,2029
../samples/decompilations/openssl/crypto x509 libcrypto-lib-x_name.c,5,1,5,11,5826
../samples/decompilations/openssl/crypto ts libcrypto-shlib-ts_rsp_sign.c,1,0,3,4,9672
../samples/decompilations/openssl/crypto sm4 libcrypto-lib-sm4.c,0,0,1,1,13728
../samples/decompilations/openssl/crypto evp libcrypto-shlib-e_aes_cbc_hmac_sha1.c,5,2,7,14,19259
